treatmentstring,n,category,group
burns/trauma|intravenous fluids|fluid restriction,18,,
neurologic|therapy for controlling cerebral perfusion pressure|sedative agent|barbiturate,17,,
neurologic|ICH/ cerebral infarct|intravenous diuretic|continuous infusion,17,,
surgery|infection|therapeutic antibacterials|carbapenem|imipenem-cilastatin,17,,
renal|medications|antibacterials|metronidazole,17,,
oncology|medications|darbepoetin alfa,17,,
surgery|cardiac therapies|oral diuretic,17,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|25-30%,17,,
gastrointestinal|intravenous fluid administration|hypotonic fluid administration|D5 Lactated Ringer's,17,,
surgery|GI therapies|stress ulcer prophylaxis|sucralfate,17,,
infectious diseases|medications|prophylactic antibacterials|for endocarditis|vancomycin,17,,
infectious diseases|medications|antiretrovirals (HIV)|nucleoside reverse transcriptase inhibitors|abacavir,17,,
surgery|infection|therapeutic antibacterials|carbapenem,17,,
surgery|glucose control|glucose|D10W,17,,
toxicology|drug overdose|agent specific therapy|narcotic overdose,17,,
neurologic|therapy for controlling cerebral perfusion pressure|sedative agent|etomidate,17,,
endocrine|intravenous fluid administration|Lactated Ringer's administration|fluid bolus (250-1000mls),17,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|beta-blockers|labetalol,17,,
hematology|oncological issues|CT scan|head,16,,
pulmonary|surgery / incision and drainage of thorax|needle thoracostomy,16,,
hematology|white blood cell disorders|plasmapheresis|plasma exchange,16,,
hematology|oncological issues|bone marrow aspiration,16,,
oncology|medications|analgesics|continuous parenteral analgesics,16,,
cardiovascular|myocardial ischemia / infarction|analgesics|non-narcotic analgesic|naproxen,16,,
pulmonary|medications|anticoagulant administration|factor Xa inhibitor|fondaparinux,16,,
neurologic|ICH/ cerebral infarct|angiogram|with embolization|elective,16,,
surgery|infection|therapeutic antibacterials|quinolone,16,,
pulmonary|radiologic procedures / bronchoscopy|pleural biopsy,16,,
hematology|oncological issues|radiation therapy,16,,
gastrointestinal|medications|antibiotics|aminoglycoside,16,,
neurologic|therapy for controlling cerebral perfusion pressure|mannitol|continuous infusion,16,,
pulmonary|medications|pneumocystis therapy|clindamycin,16,,
endocrine|intravenous fluid administration|Lactated Ringer's administration|moderate volume resuscitation (150-250 mls/hr),16,,
cardiovascular|ventricular dysfunction|natriuretic peptide|nesiritide,16,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|antithrombotic,16,,
endocrine|electrolyte correction|treatment of hypercalcemia|hydration with saline,16,,
cardiovascular|myocardial ischemia / infarction|beta blocker|sotalol,16,,
hematology|oncological issues|CT scan|with contrast,15,,
renal|procedures/radiology|kidney stone procedure|with fragmentation procedure,15,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic|ketorolac,15,,
neurologic|ICH/ cerebral infarct|antiplatelet agents|dipyridamole,15,,
cardiovascular|hypertension|ACE inhibitor|fosinopril,15,,
renal|medications|antifungal therapy|ketoconazole,15,,
surgery|immunosuppressives|immunosuppressive therapy,15,,
cardiovascular|other therapies|antibacterials|sulfonamide|trimethoprim-sulfamethoxazole,15,,
surgery|infection|cultures|sputum|AFB,15,,
gastrointestinal|medications|adsorbent charcoal,15,,
infectious diseases|medications|antimycobacterial therapy|M avium complex|ethambutol,15,,
pulmonary|medications|pneumocystis therapy|trimethoprim,15,,
gastrointestinal|medications|diuretic|oral administration,15,,
toxicology|drug overdose|mechanical ventilation|volume controlled,15,,
cardiovascular|hypertension|analgesics|PCA,15,,
endocrine|electrolyte correction|treatment of hypernatremia|isotonic fluid,15,,
cardiovascular|intravenous fluid|colloid administration|dextran,15,,
gastrointestinal|intravenous fluid administration|Lactated Ringer's administration|aggressive volume resuscitation (>250 mls/hr),15,,
renal|medications|glucocorticoid administration|stress doses,15,,
hematology|white blood cell disorders|chemotherapy,15,,
cardiovascular|other therapies|antibacterials|sulfonamide|sulfamethoxazole,15,,
renal|electrolyte correction|treatment of hyponatremia|demeclocycline,15,,
burns/trauma|intravenous fluids|blood product administration|coagulation factors,15,,
renal|dialysis|peritoneal dialysis|emergent,15,,
burns/trauma|burns|special care bed,15,,
pulmonary|medications|antifungal therapy|amphotericin B,14,,
surgery|infection|therapeutic antibacterials|second generation cephalosporin|cefotetan,14,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia,14,,
endocrine|thyroid disorder|beta blockers,14,,
renal|medications|antibacterials|clindamycin,14,,
cardiovascular|ventricular dysfunction|ACE inhibitor|enalapril|IV,14,,
endocrine|glucose metabolism|glucose|D5LR,14,,
gastrointestinal|medications|analgesics|non-narcotic analgesic|ibuprofen,14,,
oncology|medications|analgesics|transdermal analgesics,14,,
transplant|medications|immunosuppressive therapy|antilymphocyte globulin,14,,
cardiovascular|other therapies|antibacterials|rifampin,14,,
pulmonary|medications|antibacterials|second generation cephalosporin|cefoxitin,14,,
renal|medications|systemic antibiotics|aminoglycoside,14,,
cardiovascular|ventricular dysfunction|ACE inhibitor|ramipril,14,,
hematology|white blood cell disorders|systemic glucocorticoid,14,,
hematology|coagulation and platelets|anticoagulant administration|factor Xa inhibitor|fondaparinux,14,,
gastrointestinal|endoscopy/gastric instrumentation|fiberoptic colonoscopy|with chemocautery,14,,
burns/trauma|skin care|antihistamine,14,,
surgery|GI therapies|stress ulcer prophylaxis|proton pump inhibitor|omeprazole,14,,
surgery|pulmonary therapies|oxygen therapy (> 60%)|non-rebreather mask,14,,
surgery|tubes and catheters|nasogastric tube|without suction,14,,
cardiovascular|non-operative procedures|cardiac angiography|with rotoblation,14,,
pulmonary|surgery / incision and drainage of thorax|needle thoracostomy|for drainage of air,14,,
endocrine|thyroid disorder|beta blockers|metoprolol,14,,
pulmonary|radiologic procedures / bronchoscopy|mediastinoscopy,14,,
infectious diseases|medications|therapeutic antibacterials|quinolone|trovafloxacin,13,,
surgery|glucose control|glucose|D50,13,,
surgery|pulmonary therapies|bronchodilator|combination beta-agonist/anticholinergic,13,,
surgery|infection|prophylactic antibacterials|for surgery|aminoglycoside,13,,
renal|intravenous fluid|fluid restriction|1000-1500 ml,13,,
hematology|red blood cell disorders|systemic glucocorticoid|parenteral,13,,
endocrine|intravenous fluid administration|colloid administration|albumin,13,,
surgery|infection|therapeutic antibacterials|daptomycin,13,,
gastrointestinal|medications|anti-inflammatories|ketorolac,13,,
neurologic|therapy for controlling cerebral perfusion pressure|hyperventilation,13,,
hematology|red blood cell disorders|therapeutic phlebotomy,13,,
cardiovascular|other therapies|antibacterials|quinolone,13,,
burns/trauma|intravenous fluids|hypertonic saline administration,13,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|beta-blockers|metoprolol,13,,
hematology|oncological issues|tissue biopsy|needle biopsy,13,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|anticonvulsant|valproate,13,,
surgery|tubes and catheters|surgical drains|removal,13,,
infectious diseases|medications|antimycobacterial therapy|atypical mycobacteria|isoniazid (INH),13,,
cardiovascular|ventricular dysfunction|ACE inhibitor|captopril,13,,
infectious diseases|medications|antiretrovirals (HIV)|nucleoside reverse transcriptase inhibitors|lamivudine/zidovudine,13,,
surgery|tubes and catheters|suprapubic catheter,13,,
cardiovascular|vascular disorders|anticoagulant administration|antithrombotic,13,,
burns/trauma|burns|anesthetics|benzodiazepine,13,,
infectious diseases|cultures / immuno-assays|cultures|catheter tip|quantitative,13,,
neurologic|ICH/ cerebral infarct|surgery|clipping of aneurysm(s)|elective,13,,
infectious diseases|medications|therapeutic antibacterials|penicillins|penicllin G benzathine & procaine,12,,
infectious diseases|medications|therapeutic antibacterials|third generation cephalosporin|cefdinir,12,,
surgery|cardiac therapies|angiotensin II receptor blocker (ARB)|valsartan,12,,
infectious diseases|medications|prophylactic antibacterials|for endocarditis,12,,
gastrointestinal|medications|antibiotics|rifampin,12,,
surgery|pulmonary therapies|oxygen therapy (> 60%)|face mask,12,,
infectious diseases|medications|prophylactic antibacterials|for endocarditis|clindamycin,12,,
pulmonary|medications|antibacterials|penicillins|amoxicillin/potassium clavulanate,12,,
surgery|immunosuppressives|immunosuppressive therapy|mycophenolate mofetil,12,,
infectious diseases|medications|antimycobacterial therapy|MTB|rifabutin,12,,
hematology|oncological issues|analgesics,12,,
renal|dialysis|C A V H D,12,,
toxicology|drug overdose|agent specific therapy|carbon monoxide|hyperbaric oxygen,12,,
cardiovascular|shock|blood product administration|coagulation factors,12,,
surgery|GI therapies|stress ulcer treatment|proton pump inhibitor|esomeprazole,12,,
burns/trauma|trauma|peritoneal lavage,12,,
burns/trauma|intravenous fluids|colloid administration|albumin,12,,
surgery|infection|therapeutic antibacterials|sulfonamide|trimethoprim-sulfamethoxazole,12,,
renal|medications|intravenous diuretic|ethacrynic acid,12,,
surgery|wounds / temperature|wound care|topical antifungal,12,,
endocrine|diagnostic studies|CT scan|abdomen,12,,
cardiovascular|other therapies|antibacterials|carbapenem,12,,
surgery|cardiac therapies|oral diuretic|po furosemide,12,,
surgery|analgesics /sedatives/ nmbs|neuromuscular blocking agent|vecuronium,12,,
infectious diseases|medications|antiretrovirals (HIV)|non-nucleoside reverse transcriptase inhibitors|efavirenz,12,,
neurologic|seizure therapy|functional surgery for seizures,12,,
hematology|transplant and immunology|hematopoietic growth factors|erythropoietin,12,,
infectious diseases|medications|prophylactic antibacterials|for transplant/HIV|sulfonamide,12,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|for epilepsy,12,,
transplant|medications|immunosuppressive therapy|OKT3,12,,
surgery|tubes and catheters|suprapubic catheter|temporary,11,,
transplant|medications|immunosuppressive therapy|azathioprine,11,,
endocrine|intravenous fluid administration|Lactated Ringer's administration|aggressive volume resuscitation (>250 mls/hr),11,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with laser therapy,11,,
surgery|infection|cultures|sputum|fungal,11,,
gastrointestinal|medications|immunoregulatory agents|azathioprine,11,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|face mask,11,,
surgery|pulmonary therapies|bronchodilator|inhaled,11,,
renal|medications|systemic antibiotics|linezolid,11,,
hematology|white blood cell disorders|plasmapheresis|apheresis,11,,
burns/trauma|burns|escharotomy,11,,
gastrointestinal|medications|antibiotics|daptomycin,11,,
endocrine|thyroid disorder|iodine,11,,
endocrine|thyroid disorder|radioactive iodine,11,,
renal|medications|antifungal therapy,11,,
cardiovascular|intravenous fluid|fluid restriction|1500-2000 ml,11,,
surgery|cardiac therapies|nitroglycerin|oral,11,,
infectious diseases|medications|therapeutic antibacterials|third generation cephalosporin|cefixime,10,,
renal|medications|immunosuppressive therapy|basiliximab,10,,
transplant|medications|immunosuppressive therapy|basiliximab,10,,
infectious diseases|procedures|vascular catheter - change|tip cultured,10,,
cardiovascular|arrhythmias|beta blocker|acebutolol,10,,
surgery|cardiac therapies|glycoprotein IIb/IIIa inhibitor|abciximab,10,,
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic|indomethacin,10,,
pulmonary|medications|bronchodilator|leukotriene receptor antagonists|zafirlukast (Accolate),10,,
infectious diseases|medications|therapeutic antibacterials|macrolide|clarithromycin,10,,
cardiovascular|non-operative procedures|diagnostic ultrasound of heart|with exercise,10,,
surgery|infection|therapeutic antibacterials|monobactam|aztreonam,10,,
pulmonary|medications|antimycobacterials (MTB) therapy|ethambutol,10,,
hematology|coagulation and platelets|systemic glucocorticoid|oral,10,,
surgery|pulmonary therapies|mechanical ventilation|non-invasive ventilation,10,,
endocrine|electrolyte correction|treatment of hypercalcemia,10,,
surgery|glucose control|glucose|D5W,10,,
surgery|intravenous fluids / electrolytes|colloid administration|dextran,10,,
hematology|oncological issues|tissue biopsy,10,,
renal|medications|analgesics|non-narcotic analgesic|indomethacin,10,,
burns/trauma|trauma|angiography|venography,10,,
endocrine|electrolyte correction|treatment of hypercalcemia|phosphate,10,,
cardiovascular|other therapies|antibacterials|third generation cephalosporin|cefpodoxime,10,,
cardiovascular|intravenous fluid|blood product administration|packed red blood cells|transfusion of  0 negative prbc's,10,,
surgery|cardiac therapies|angiotensin II receptor blocker (ARB)|losartan,10,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|dantrolene,10,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|thrombin inhibitors|bivalirudin,10,,
toxicology|drug overdose|agent specific therapy|tricyclic overdose,10,,
cardiovascular|ventricular dysfunction|angiotensin II receptor blocker (ARB)|candesartan,10,,
toxicology|drug overdose|hypotonic fluid administration|half-normal saline solution,10,,
cardiovascular|other therapies|antibacterials|quinolone|moxifloxacin,10,,
infectious diseases|medications|antifungal therapy|for high-risk surgery,10,,
renal|medications|immunosuppressive therapy|thymoglobulin,10,,
renal|medications|immunosuppressive therapy|cyclophosphamide,10,,
surgery|tubes and catheters|surgical drains|change,9,,
infectious diseases|medications|therapeutic antibacterials|penicillins|penicillin VK,9,,
renal|medications|analgesics|non-narcotic analgesic,9,,
pulmonary|medications|antibacterials|first generation cephalosporin|cephalexin,9,,
hematology|red blood cell disorders|systemic glucocorticoid|oral,9,,
toxicology|drug overdose|agent specific therapy|digoxin overdose/toxicity|external pacemaker,9,,
pulmonary|medications|antibacterials|second generation cephalosporin,9,,
pulmonary|medications|anticoagulant administration|factor Xa inhibitor,9,,
surgery|infection|prophylactic antibacterials|for endocarditis|clindamycin,9,,
surgery|cardiac therapies|beta blocker|atenolol,9,,
toxicology|drug overdose|hypotonic fluid administration|D5W,9,,
surgery|pulmonary therapies|mechanical ventilation|non-invasive ventilation|face mask,9,,
pulmonary|radiologic procedures / bronchoscopy|mediastinoscopy|lymph node biopsy,9,,
hematology|red blood cell disorders|blood product administration|packed red blood cells|transfusion of  0 negative prbc's,9,,
renal|medications|immunosuppressive therapy|azathioprine,9,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|factor Xa inhibitor,9,,
surgery|pulmonary therapies|mechanical ventilation|pressure controlled,9,,
endocrine|pituitary and temperature regulation|pituitary hormone replacement,9,,
pulmonary|medications|pneumocystis therapy|atovaquone,9,,
infectious diseases|medications|anti-protozoal therapy|for toxoplasma|atovaquone,9,,
burns/trauma|intravenous fluids|hypotonic fluid administration|half-normal saline solution,9,,
renal|medications|analgesics|PCA,9,,
cardiovascular|shock|inotropic agent|amrinone,9,,
surgery|wounds / temperature|cooling the patient|dantrolene,9,,
endocrine|pituitary and temperature regulation|active core rewarming|gastric/rectal lavage,9,,
neurologic|procedures / diagnostics|thymectomy,9,,
toxicology|drug overdose|agent specific therapy|cocaine overdose|anticonvulsant|lorazepam,9,,
pulmonary|medications|antifungal therapy|prophylactic,9,,
neurologic|seizure therapy|vagal stimulation for seizures,9,,
infectious diseases|medications|therapeutic antibacterials|sulfonamide|sulfamethoxazole,9,,
gastrointestinal|nutrition|prokinetic agent|erythromycin,9,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|clofibrate,9,,
renal|electrolyte correction|treatment of hypercalcemia|glucocorticoids,9,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB)|irbesartan,8,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic|ibuprofen,8,,
endocrine|pituitary and temperature regulation|active core rewarming,8,,
infectious diseases|cultures / immuno-assays|cultures|urine|suprapubic aspiration,8,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB)|candesartan,8,,
infectious diseases|medications|therapeutic antibacterials|sulfonamide|sulfadiazine,8,,
endocrine|intravenous fluid administration|fluid restriction|500-1000 ml,8,,
renal|medications|bicarbonate|tham,8,,
cardiovascular|myocardial ischemia / infarction|thrombolytic therapy|streptokinase,8,,
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic|celecoxib,8,,
surgery|infection|therapeutic antibacterials|penicillins|amoxicillin/potassium clavulanate,8,,
renal|medications|antibacterials|rifampin,8,,
hematology|transplant and immunology|immunosuppressives|glatiramer,8,,
pulmonary|medications|antimycobacterials (MTB) therapy|pyrazinamide,8,,
hematology|coagulation and platelets|anticoagulant administration|factor Xa inhibitor,8,,
gastrointestinal|medications|stress ulcer prophylaxis|misoprostol,8,,
pulmonary|medications|pneumocystis therapy,8,,
renal|medications|antibacterials|linezolid (Zyvox),8,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|benzodiazepine,8,,
gastrointestinal|medications|diuretic|continuous infusion,8,,
surgery|infection|therapeutic antibacterials|aminoglycoside|tobramycin,8,,
pulmonary|radiologic procedures / bronchoscopy|mediastinoscopy|tissue biopsy,8,,
surgery|infection|therapeutic antibacterials|second generation cephalosporin,8,,
hematology|coagulation and platelets|anticoagulant administration|thrombin inhibitors|bivalirudin,8,,
toxicology|drug overdose|agent specific therapy|digoxin overdose/toxicity|implantation of heart pacemaker|temporary,8,,
pulmonary|medications|antifungal therapy|caspofungin,8,,
surgery|seizure therapy|anticonvulsant|phenobarbital,8,,
burns/trauma|trauma|peritoneal lavage|with gross hemorrhage,8,,
gastrointestinal|intravenous fluid administration|fluid restriction|1500-2000 ml,8,,
cardiovascular|hypertension|sedative agent|haloperidol,8,,
toxicology|drug overdose|agent specific therapy|salicylate overdose/toxicity,8,,
surgery|immunosuppressives|glucocorticoid administration|stress doses,8,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|cardiopulmonary bypass,8,,
surgery|pulmonary therapies|bronchodilator|metered dose,8,,
pulmonary|medications|antibacterials|penicillins|ticarcillin/potassium clavulanate,8,,
neurologic|therapy for controlling cerebral perfusion pressure|hyperventilation|pCO2 25-35mmhg,8,,
surgery|pulmonary therapies|bronchodilator|leukotriene receptor antagonists|montelukast (Singulair),8,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|antithrombotic,7,,
pulmonary|radiologic procedures / bronchoscopy|angiography|venogram,7,,
endocrine|intravenous fluid administration|colloid administration,7,,
neurologic|pain / agitation / altered mentation|antidepressant|imipramine,7,,
surgery|infection|prophylactic antibacterials|for transplant/HIV,7,,
surgery|pulmonary therapies|mechanical ventilation|tidal volume > 10 ml/kg,7,,
pulmonary|medications|anticoagulant administration|low molecular weight heparin|danaparoid,7,,
cardiovascular|other therapies|antibacterials|penicillins|amoxicillin/potassium clavulanate,7,,
surgery|cardiac therapies|antiplatelet agent|dipyridamole,7,,
cardiovascular|other therapies|non-steroidal anti-inflammatory agent|ketorolac,7,,
toxicology|drug overdose|mechanical ventilation|pressure support,7,,
endocrine|intravenous fluid administration|fluid restriction,7,,
infectious diseases|medications|pneumocystis therapy|primaquine,7,,
endocrine|intravenous fluid administration|hypotonic fluid administration|D5 Lactated Ringer's,7,,
toxicology|drug overdose|vasopressors|dopamine 5-15 micrograms/kg/min,7,,
surgery|cardiac therapies|oral diuretic|spironolactone,7,,
surgery|pulmonary therapies|oxygen therapy (40% to 60%)|face tent,7,,
surgery|infection|therapeutic antibacterials|third generation cephalosporin|ceftizoxime,7,,
surgery|pulmonary therapies|non-invasive ventilation|nasal mask,7,,
surgery|infection|prophylactic antibacterials|for endocarditis|vancomycin,7,,
cardiovascular|ventricular dysfunction|calcium channel blocker|verapamil,7,,
neurologic|ICH/ cerebral infarct|mannitol|continuous infusion,7,,
endocrine|thyroid disorder|beta blockers|esmolol,7,,
pulmonary|medications|antibacterials|aminoglycoside,7,,
renal|medications|systemic antibiotics|macrolide,7,,
burns/trauma|intravenous fluids|hypotonic fluid administration|D5W,7,,
renal|medications|systemic antibiotics|clindamycin,7,,
gastrointestinal|medications|antibiotics|metronidazole|with bismuth subsalicylate,7,,
infectious diseases|cultures / immuno-assays|warm-reactive antibody,7,,
cardiovascular|other therapies|antibacterials|third generation cephalosporin|ceftizoxime,7,,
infectious diseases|procedures|ultrasonography|pelvis,7,,
oncology|medications|erythropoietin,7,,
renal|electrolyte correction|treatment of hypernatremia|vasopressin,7,,
pulmonary|medications|anticoagulant administration|thrombin inhibitors|bivalirudin,7,,
gastrointestinal|medications|antiemetic|serotonin antagonist|dolasetron,7,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|anticonvulsant|lorazepam,7,,
endocrine|diagnostic studies|ultrasonography|thyroid,7,,
cardiovascular|hypertension|analgesics|neuraxial analgesics,7,,
endocrine|thyroid disorder|glucocorticoids|stress doses,7,,
pulmonary|vascular disorders|VTE prophylaxis|low molecular weight heparin|dalteparin,6,,
toxicology|drug overdose|vasopressors|epinephrine > 0.1 micrograms/kg/min,6,,
infectious diseases|medications|antiretrovirals (HIV)|protease inhibitors|lopinavir/ritonavir,6,,
oncology|medications|analgesics|non-narcotoc analgesic|ketorolac,6,,
cardiovascular|arrhythmias|anticoagulant administration|antithrombotic,6,,
surgery|GI therapies|stress ulcer treatment|misoprostol,6,,
infectious diseases|procedures|tissue biopsy|lymph node,6,,
hematology|transplant and immunology|immunosuppressives|azathioprine,6,,
neurologic|ICH/ cerebral infarct|oral diuretic,6,,
pulmonary|medications|antibacterials|macrolide|clarithromycin,6,,
gastrointestinal|medications|antibiotics|monobactam,6,,
endocrine|intravenous fluid administration|blood product administration|platelet concentrate,6,,
oncology|medications|tissue biopsy,6,,
surgery|cardiac therapies|ACE inhibitor|captopril,6,,
"gastrointestinal|radiology, diagnostic and procedures|creation of portal-systemic shunt",6,,
hematology|oncological issues|chemotherapy|oral,6,,
infectious diseases|medications|prophylactic antibacterials|for transplant/HIV|macrolide,6,,
endocrine|diagnostic studies|ultrasonography,6,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|evaporative cooling,6,,
cardiovascular|ventricular dysfunction|vasodilator|nesiritide,6,,
cardiovascular|non-operative procedures|diagnostic ultrasound of heart|with dobutamine,6,,
hematology|oncological issues|analgesics|narcotic analgesic,6,,
infectious diseases|medications|therapeutic antibacterials|penicillins|penicillin G Procaine,6,,
cardiovascular|other therapies|antibacterials|penicillins|penicllin G benzathine,6,,
hematology|oncological issues|CT scan|without contrast,6,,
infectious diseases|medications|antimycobacterial therapy|M avium complex,6,,
cardiovascular|ventricular dysfunction|beta blocker|bisoprolol,6,,
hematology|oncological issues|CT scan,6,,
endocrine|diagnostic studies|MRI - head,6,,
surgery|nutrition|parenteral feeds,6,,
neurologic|therapy for controlling cerebral perfusion pressure|lidocaine|continuous infusion,6,,
toxicology|drug overdose|hypertonic saline administration,6,,
hematology|transplant and immunology|immunosuppressives|sirolimus,6,,
surgery|infection|therapeutic antibacterials|third generation cephalosporin|cefotaxime,6,,
neurologic|procedures / diagnostics|neurosurgery|ventricular shunt procedure|ventricular-atrial,6,,
endocrine|thyroid disorder|glucocorticoids|prednisolone,6,,
infectious diseases|medications|pneumocystis therapy|trimethoprim,6,,
toxicology|drug overdose|agent specific therapy|tricyclic overdose|magnesium,6,,
gastrointestinal|medications|antidiarrhea agent|bismuth subsalicylate,6,,
gastrointestinal|medications|antibiotics|sulfonamide,6,,
toxicology|drug overdose|Lactated Ringer's solution|fluid bolus (250-1000 mls),6,,
renal|medications|systemic antibiotics|monobactam,6,,
pulmonary|medications|antibacterials|sulfonamide|sulfamethoxazole,6,,
burns/trauma|burns|anesthetics,6,,
surgery|infection|therapeutic antibacterials|rifampin,5,,
infectious diseases|procedures|vascular catheter - change|new site,5,,
endocrine|electrolyte correction|treatment of hyperphosphatemia|aluminum-based antacid,5,,
pulmonary|medications|antibacterials|penicillins|penicillin VK,5,,
renal|procedures/radiology|kidney biopsy|left,5,,
pulmonary|medications|bronchodilator|xanthine,5,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB)|telmisartan,5,,
hematology|transplant and immunology|bone marrow transplantation|allogeneic,5,,
endocrine|thyroid disorder|beta blockers|atenolol,5,,
surgery|infection|therapeutic antibacterials|penicillins|oxacillin,5,,
neurologic|seizure therapy|deep brain stimulation,5,,
infectious diseases|consultations|Epidemiology consultation,5,,
toxicology|drug overdose|agent specific therapy|digoxin overdose/toxicity|implantation of heart pacemaker|permanent,5,,
toxicology|drug overdose|agent specific therapy|acetaminophen overdose|metoclopramide,5,,
neurologic|ICH/ cerebral infarct|thrombolytics|reteplase,5,,
infectious diseases|medications|antimycobacterial therapy|atypical mycobacteria,5,,
infectious diseases|medications|antiretrovirals (HIV)|protease inhibitors,5,,
burns/trauma|intravenous fluids|fluid restriction|1000-1500 ml,5,,
hematology|oncological issues|tissue biopsy|lung,5,,
burns/trauma|skin care|systemic glucocorticoid|stress doses,5,,
cardiovascular|hypertension|analgesics|transdermal analgesics,5,,
toxicology|drug overdose|Lactated Ringer's solution|moderate volume resuscitation (150-250 mls/hr),5,,
renal|dialysis|peritoneal dialysis|for acute renal failure,5,,
cardiovascular|intravenous fluid|fluid restriction|< 500 ml,5,,
infectious diseases|cultures / immuno-assays|cold-reactive antibody,5,,
renal|electrolyte correction|treatment of hypercalcemia|phosphate|oral,5,,
surgery|nutrition|prokinetic agent,5,,
pulmonary|medications|antibacterials|third generation cephalosporin|cefotaxime,5,,
cardiovascular|hypertension|beta blocker|acebutolol,4,,
cardiovascular|myocardial ischemia / infarction|ACE inhibitor|fosinopril,4,,
renal|medications|analgesics|non-narcotic analgesic|ibuprofen,4,,
cardiovascular|other therapies|antibacterials|second generation cephalosporin,4,,
infectious diseases|procedures|tissue biopsy|needle biopsy,4,,
cardiovascular|myocardial ischemia / infarction|analgesics|non-narcotic analgesic|indomethacin,4,,
infectious diseases|medications|antimycobacterial therapy|MTB|streptomycin,4,,
pulmonary|medications|pneumocystis therapy|dapsone,4,,
pulmonary|vascular disorders|anticoagulant administration|factor Xa inhibitor|fondaparinux,4,,
pulmonary|medications|antibacterials|sulfonamide,4,,
surgery|infection|therapeutic antibacterials|penicillins|nafcillin,4,,
toxicology|drug overdose|agent specific therapy|theophylline overdose|beta-blockers|esmolol,4,,
endocrine|pituitary and temperature regulation|treatment for hyperthermia|peritoneal lavage,4,,
neurologic|pain / agitation / altered mentation|bromocriptine,4,,
surgery|cardiac therapies|calcium channel blocker|verapamil,4,,
"gastrointestinal|radiology, diagnostic and procedures|creation of portal-systemic shunt|surgical",4,,
surgery|infection|therapeutic antibacterials|directed antibacterial therapy,4,,
pulmonary|medications|antibacterials|first generation cephalosporin|cefadroxil,4,,
cardiovascular|other therapies|antibacterials|macrolide|clarithromycin,4,,
surgery|immunosuppressives|immunosuppressive therapy|cyclophosphamide,4,,
pulmonary|medications|thrombolytic agent|tenecteplase,4,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|bile sequestrant,4,,
pulmonary|medications|antifungal therapy|itraconazole,4,,
cardiovascular|other therapies|antibacterials|penicillins|penicillin G aqueous,4,,
surgery|pulmonary therapies|oxygen therapy (40% to 60%)|trach collar,4,,
neurologic|seizure therapy|anticonvulsant|barbiturate,4,,
renal|electrolyte correction|treatment of hyponatremia|fluid restriction|< 500 ml/24 hours,4,,
surgery|cardiac therapies|ACE inhibitor|enalapril,4,,
surgery|analgesics /sedatives/ nmbs|neuromuscular blocking agent|rocuronium,4,,
infectious diseases|medications|antiretrovirals (HIV)|nucleoside reverse transcriptase inhibitors|abacavir/lamivudine/zidovudine,4,,
cardiovascular|arrhythmias|antiarrhythmics|class I antiarrhythmic|quinidine,4,,
toxicology|drug overdose|drug removal measures|cathartic,4,,
hematology|white blood cell disorders|bone marrow aspiration,4,,
renal|medications|analgesics|neuraxial analgesics,4,,
gastrointestinal|medications|diuretic|potassium sparing diurectic,4,,
endocrine|electrolyte correction|treatment of hypercalcemia|bisphosphonates,4,,
neurologic|ICH/ cerebral infarct|surgery|resection of AVM,4,,
surgery|GI therapies|stress ulcer prophylaxis|misoprostol,4,,
endocrine|diagnostic studies|CT scan|pancreas,4,,
surgery|GI therapies|stress ulcer treatment|ranitidine,4,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|deep brain stimulation|for movement disorder,4,,
neurologic|procedures / diagnostics|neurosurgery|therapeutic craniotomy|deep brain stimulation,4,,
endocrine|intravenous fluid administration|colloid administration|dextran,3,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic|naproxen,3,,
